154431		Onychophora								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	914158		0		0	5	30	No	
154432		Onychophorida								invalid	unavailable database artifact	TWG standards met	unknown	2006	0	1996-06-13 14:51:08	0		0		0	5	100	No	
154520		Sipuncula								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	914159		0		0	5	30	No	
154972		Echiura								invalid	other see comments	TWG standards met	unknown	2013	0	1996-06-13 14:51:08	0		113779		0	5	30	No	
154973		Echiurida								invalid	other see comments	TWG standards met	unknown	2013	0	1996-06-13 14:51:08	0		113693		0	5	30	No	
154974		Echiuroidea								invalid	other see comments	TWG standards met	unknown	2013	0	1996-06-13 14:51:08	0		113801		0	5	100	No	
155142		Xenopneusta								invalid	junior synonym	TWG standards met	unknown	2006	0	1996-06-13 14:51:08	0		16271		0	5	100	No	
155149		Heteromyota								invalid	other see comments	TWG standards met	unknown	2006	0	1996-06-13 14:51:08	0		16271		0	5	100	No	
155153		Priapulida								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	914158		0		0	5	30	No	
155166		Tardigrada								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	914158		0		0	5	30	No	
155167		Heterotardigrada								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	155166		22511		0	5	60	No	
155168		Arthrotardigrada								valid		TWG standards met	complete	2005	0	1996-06-13 14:51:08	155167		22511		0	5	100	No	
155299		Echiniscoidea								valid		TWG standards met	complete	2005	0	1996-06-13 14:51:08	155167		22511		0	5	100	No	
155358		Mesotardigrada								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	155166		25699		0	5	60	No	
155362		Eutardigrada								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	155166		115220		0	5	60	No	
155455		Pentastomida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	621145		89988		0	5	70	No	
155456		Phoronida								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	914159		0		0	5	30	No	
155469		Bryozoa								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	914159		0		0	5	30	No	
155470		Ectoprocta								invalid	junior synonym	TWG standards met	unknown	2013	0	1996-06-13 14:51:08	0		0		0	5	30	No	
155471		Gymnolaemata								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	155469		0		0	5	60	No	
155472		Ctenostomata								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	155471		12905		0	5	100	No	
155603		Cyclostomata								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	914199		12905		0	5	100	No	
155799		Cheilostomata								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	155471		12905		0	5	100	No	
156688		Phylactolaemata								valid		TWG standards met	unknown	2013	0	1996-06-13 14:51:08	155469		0		0	5	60	No	
156689		Plumatellida								valid		TWG standards met	unknown	2013	0	1996-06-13 14:51:08	156688		0		0	5	100	No	
156732		Entoprocta								invalid	other see comments	TWG standards met	unknown	2013	0	1996-06-13 14:51:08	0		114705		0	5	30	No	
156733		Loxosomatida								invalid	junior synonym	TWG standards met	unknown	2006	0	1996-06-13 14:51:08	0		0		0	5	100	No	
156737		Pedicellinida								invalid	junior synonym	TWG standards met	unknown	2006	0	1996-06-13 14:51:08	0		0		0	5	100	No	
156751		Urnatellida								invalid	other see comments	TWG standards met	unknown	2006	0	1996-06-13 14:51:08	0		0		0	5	100	No	
156755		Brachiopoda								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	914159		0		0	5	30	No	
156756		Inarticulata								invalid	other see comments	No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	0		19498		0	5	60	No	
156757		Lingulida								valid		TWG standards met	unknown	2013	0	1996-06-13 14:51:08	914197		30205		0	5	100	No	
156768		Acrotretida								valid		No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	914196		21059		0	5	100	No	
156776		Articulata								invalid	other see comments	No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	0		19498		0	5	60	No	
156777		Articulata								invalid	unavailable database artifact	No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	0		19498		0	5	60	No	
156778		Rhynchonellida								valid		TWG standards met	unknown	2013	0	1996-06-13 14:51:08	914198		21059		0	5	100	No	
156856		Terebratulida								valid		TWG standards met	unknown	2013	0	1996-06-13 14:51:08	914198		30204		0	5	100	No	
156857		Echinodermata								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	914156		20624		0	5	30	No	
156858		Stelleroidea								invalid	other see comments	TWG standards met	unknown	2004	0	1996-06-13 14:51:08	0		21221		0	5	60	No	
156859		Somasteroidea								valid		Minimum taxonomic/nomenclature review	partial	2004	0	1996-06-13 14:51:08	914171		28035		0	5	60	No	
156860		Goniactinida								invalid	other see comments	TWG standards met	unknown	2014	0	1996-06-13 14:51:08	0		28035		0	5	100	No	
156862		Asteroidea								valid		TWG standards met	complete	2014	0	1996-06-13 14:51:08	914171		14681		0	5	60	No	
156863		Platyasterida								invalid	other see comments	TWG standards met	unknown	2014	0	1996-06-13 14:51:08	0		28035		0	5	100	No	
156881		Paxillosida								valid		TWG standards met	complete	2014	0	1996-06-13 14:51:08	988844		24991		0	5	100	No	
156973		Valvatida								valid		TWG standards met	complete	2014	0	1996-06-13 14:51:08	988844		24991		0	5	100	No	
157060		Spinulosida								valid		TWG standards met	complete	2014	0	1996-06-13 14:51:08	988845		24991		0	5	100	No	
157197		Forcipulatida								valid		TWG standards met	complete	2014	0	1996-06-13 14:51:08	988843		24991		0	5	100	No	
157325		Ophiuroidea								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	914171		17484		0	5	60	No	
157326		Oegophiurida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157325		0		0	5	100	No	
157329		Phrynophiurida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157325		22708		0	5	100	No	
157382		Ophiurida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157325		99948		0	5	100	No	
157820		Echinozoa								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	156857		17990		0	5	40	No	
157821		Echinoidea								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	157820		21634		0	5	60	No	
157822		Perischoechinoidea								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157821		22194		0	5	70	No	
157823		Cidaroida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157822		13649		0	5	100	No	
157848		Euechinoidea								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157821		99971		0	5	70	No	
157849		Diadematacea								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157848		15342		0	5	90	No	
157850		Echinothurioida								valid		No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	157849		13649		0	5	100		
157866		Diadematoida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157849		15342		0	5	100	No	
157887		Pedinoida								valid		No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	157849		0		0	5	100		
157891		Echinacea								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157848		13647		0	5	90	No	
157892		Echinacea								invalid	unavailable database artifact	TWG standards met	unknown	2004	0	1996-06-13 14:51:08	0		13647		0	5	90	No	
157893		Salenioida								valid		No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	157891		0		0	5	100		
157900		Phymosomatoida								valid		No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	157891		0		0	5	100		
157903		Arbacioida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157891		17559		0	5	100	No	
157917		Temnopleuroida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157891		23658		0	5	100	No	
157939		Echinoida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157891		13647		0	5	100	No	
157978		Gnathostomata								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157848		31311		0	5	90	No	
157979		Gnathostomata								invalid	unavailable database artifact	TWG standards met	unknown	2004	0	1996-06-13 14:51:08	0		0		0	5	90	No	
157980		Holectypoida								valid		No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	157978		15256		0	5	100		
157984		Clypeasteroida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157978		10117		0	5	100	No	
158035		Atelostomata								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	157848		31311		0	5	90	No	
158036		Cassiduloida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158035		13649		0	5	100	No	
158069		Spatangoida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158035		13647		0	5	100	No	
158140		Holothuroidea								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	157820		87675		0	5	60	No	
158141		Dendrochirotacea								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158140		17646		0	5	70	No	
158142		Dendrochirotida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158141		17646		0	5	100	No	
158303		Dactylochirotida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158141		99945		0	5	100	No	
158307		Aspidochirotacea								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158140		12456		0	5	70	No	
158308		Aspidochirotida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158307		17646		0	5	100	No	
158384		Elasipodida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158307		0		0	5	100	No	
158423		Apodacea								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158140		12456		0	5	70	No	
158424		Apodida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158423		12456		0	5	100	No	
158491		Molpadiida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158423		91571		0	5	100	No	
158540		Crinozoa								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	156857		99919		0	5	40	No	
158541		Crinoidea								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	158540		99944		0	5	60	No	
158542		Eucrinoidea								invalid	junior synonym	No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	0		31311		0	5	60		
158543		Articulata								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158541		31311		0	5	70	No	
158544		Articulata								invalid	unavailable database artifact	TWG standards met	unknown	2004	0	1996-06-13 14:51:08	0		31311		0	5	70	No	
158545		Comatulida								valid		TWG standards met	partial	2004	0	1996-06-13 14:51:08	158543		10164		0	5	100	No	
158608		Bourgueticrinida								valid		No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	158543		0		0	5	100		
158616		Hemichordata								valid		TWG standards met	complete	2015	0	1996-06-13 14:51:08	914156		189236		0	5	30	No	
158617		Enteropneusta								valid		TWG standards met	complete	2015	0	1996-06-13 14:51:08	158616		189288		0	5	60	No	
158642		Pterobranchia								valid		TWG standards met	complete	2015	0	1996-06-13 14:51:08	158616		189237		0	5	60	No	
158643		Rhabdopleurida								valid		TWG standards met	complete	2015	0	1996-06-13 14:51:08	993363		189232		0	5	100	No	
158647		Cephalodiscida								invalid	other see comments	TWG standards met	unknown	2015	0	1996-06-13 14:51:08	0		189233		0	5	100	No	
158649		Planctosphaeroidea								invalid	nomen dubium	TWG standards met	unknown	2015	0	1996-06-13 14:51:08	0		189240		0	5	60	No	
158650		Chaetognatha								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	914157		0		0	5	30	No	
158651		Archisagittoidea								valid		No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	158650		0		0	5	60	No	
158655		Sagittoidea								valid		TWG standards met	unknown	2013	0	1996-06-13 14:51:08	158650		13640		0	5	60	No	
158656		Phragmophora								valid		No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	158655		29255		0	5	100		
158724		Aphragmophora								valid		TWG standards met	unknown	unknown	0	1996-06-13 14:51:08	158655		0		0	5	100	No	
158852		Chordata								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	914156		0		0	5	30	No	
158853		Urochordata								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	158852		0		0	5	40	No	
158854		Ascidiacea								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	158853		0		0	5	60	No	
158855		Enterogona								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	158854		0		0	5	100	No	
159224		Pleurogona								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	158854		0		0	5	100	No	
159632		Thaliacea								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	158853		0		0	5	60	No	
159633		Pyrosomida								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	159632		0		0	5	100	No	
159637		Doliolida								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	159632		0		0	5	100	No	
159643		Salpida								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	159632		0		0	5	100	No	
159644		Desmonyaria								invalid	junior synonym	No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	0		0		0	5	100		
159664		Appendicularia								valid		TWG standards met	unknown	2013	0	1996-06-13 14:51:08	158853		0		0	5	60	No	
159665		Larvacea								invalid	junior synonym	No review; untreated NODC data	unknown	unknown	0	1996-06-13 14:51:08	0		0		0	5	60		
159666		Copelata								valid		TWG standards met	unknown	2013	0	1996-06-13 14:51:08	159664		0		0	5	100	No	
159679		Cephalochordata								invalid	other see comments	TWG standards met	unknown	2013	0	1996-06-13 14:51:08	0		0		0	5	60	No	
159693		Agnatha								invalid	other see comments	TWG standards met	unknown	2013	0	1996-06-13 14:51:08	0		0		0	5	50	No	
159694		Cephalaspidomorphi								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	914178		0		0	5	60	No	
159695		Cephalaspidomorpha								invalid	other see comments	TWG standards met	unknown	2003	0	1996-06-13 14:51:08	0		0		0	5	70	No	
159696		Petromyzontiformes								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	159694		0		0	5	100	No	
159750		Pteraspidomorphi								valid		TWG standards met	complete	2003	0	1996-06-13 14:51:08	914178		0		0	5	60	No	
159751		Pteraspidomorpha								invalid	other see comments	TWG standards met	unknown	2003	0	1996-06-13 14:51:08	0		0		0	5	70	No	
159752		Myxiniformes								valid		TWG standards met	complete	2013	0	1996-06-13 14:51:08	622223		0		0	5	100	No	
159783		Gnathostomata								invalid	other see comments	TWG standards met	unknown	2013	0	1996-06-13 14:51:08	0		0		0	5	50	No	
159784		Gnathostomata								invalid	unavailable database artifact	TWG standards met	unknown	2013	0	1996-06-13 14:51:08	0		0		0	5	50	No	
159785		Chondrichthyes								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	914180		0		0	5	60	No	
159786		Elasmobranchii								valid		TWG standards met	partial	2013	0	1996-06-13 14:51:08	159785		0		0	5	70	No	
159787		Selachimorpha								invalid	junior synonym	TWG standards met	unknown	2003	0	1996-06-13 14:51:08	0		0		0	5	90	No	
159788		Heterodontiformes								valid		TWG standards met	complete	2003	0	1996-06-13 14:51:08	563987		0		0	5	100	No	
